廃棄部分,再利用方法,詳細説明
大根・人参の皮,きんぴら、切り干し大根風、漬物、炒め物、スープ、味噌汁の具材,皮には内側よりも栄養が豊富に含まれ、旨みもある。ピーラーで薄く剥くと扱いやすく、きんぴらや漬物、スープの具材として使いやすい。
大根・カブの葉,菜めし、炒め物、ふりかけ、ジェノベーゼ風ソース、味噌汁の具、混ぜご飯,葉も栄養が豊富。刻んで炒めたり、さっと茹でて和え物にするなど。
ブロッコリーの茎,ザーサイ風炒め物、きんぴら、スープ、みそ汁、中華風サラダ、バターポン酢炒め,外側の硬い部分を厚めにむけば、柔らかい部分があらわれて調理がしやすくなる。加熱するとホクホクしてと甘みが出て、炒め物やスープに最適。
ネギの青い部分,薬味、ねぎみそ、チャーハン、卵焼き、煮込み料理,青い部分は辛みが強いので、薬味やトッピングに活かせる。辛みが苦手な場合は卵焼きや煮込み料理に入れると緩和され食べやすい。
野菜のヘタ・芯・皮など,ベジブロス(野菜だし),野菜のくずを水と少量の酒・塩で煮て作る。スープやカレーのベースに使え、旨みもUP！玉ねぎの皮など食べられない部分も活用できる。
しいたけの軸（石づき以外）,きんぴら、つくだ煮、ハンバーグ、餃子の具、唐揚げ,縦に裂くか斜めにスライスすると食べやすい。太めに切ればきんぴらや唐揚げに。細かく刻めばハンバーグや餃子の具として混ぜやすくなる。
えのきやしめじの軸（石づき以外）,ふりかけ、ステーキ,軸は細かく裂いて調味料で炒めれば、しいたけ軸のふりかけ風。厚めに切ってステーキにすれば、コリコリ食感が楽しめる。
鶏皮,鶏皮ポン酢、パリパリせんべい、焼き鳥,焼いたり湯引きしたりすると香ばしくなり、おつまみのようにに使える。脂質が多いので食べ過ぎには注意！
レタスの芯,芯巻き、スープ,硬い部分は切り込みを入れて茹でるとシャキシャキ感を楽しめて食べやすくなる。そのまま芯巻きに使ったり、スープの具材にしたりできる。
キャベツの芯,スープ、煮込み、炒め物,葉より芯のほうが栄養豊富という研究も。硬い部分も薄切りやみじん切りにして煮込み・炒め物に使えば、まるごと食べられる。
残った鍋のつゆ,炊き込みご飯,鍋の後のつゆを炊き込みご飯のだしとして再利用。具材の旨みが出るので味付けが決まりやすい。
バナナの皮,固いお肉の調理,バナナの皮を固いお肉と一緒に焼くだけ。皮に含まれる酵素の働きでお肉が柔らかくなる。
米のとぎ汁,野菜の下茹で,アクを吸着できるので、アクを多く含む野菜をゆでるときに使うと便利。
セロリの葉・筋,天ぷら、スープ、炒め物、ベジブロス(野菜だし),香りが強いため、スープの風味付けや天ぷらに。筋もベジブロスの材料にぴったり。
長ネギの青い部分,香味ダレ、ツナのポン酢和え,細かく刻んでごま油・醤油・ポン酢と混ぜれば、冷奴や肉料理に使える万能ダレに早変わり。ツナとポン酢で和えれば、手軽な和え物になる。
アスパラガスの皮,チーズおつまみ(チーズせんべい),むいた皮×スライスチーズを焼いて・冷まして・割るだけ！筋っぽさが気にならない、パリパリの香ばしいおつまみに変身。
柑橘類の皮,自家製砂糖漬け(ピール)、ジャム,皮を細かく刻んでゆでこぼし、砂糖で煮詰めるだけで、お菓子作りに使える爽やかなピールが完成。果物の皮はジャムづくりに利用できる。
かぼちゃの皮,ナムル,硬い皮を厚み3mm程度にむき、千切りにしてレンジで加熱。ごま油と鶏ガラスープの素で和えれば、手軽なナムルに。
魚の骨・頭,味噌汁の具材,新鮮な魚の骨やアラ（アンコウの肝など）を、下処理して味噌汁の具に。栄養価と風味をぐっと引き出せる。
ぬか漬けの野菜くず,ぬか床の「捨て漬け」,ぬか漬けを始める際や、ぬか床の管理時に使う「捨て漬け」には、きゅうりやにんじんなどの皮やヘタが活躍！漬けることでぬか床の風味が整い、状態が安定する。
スイカの皮,漬物、ピクルス,皮の白い部分は、薄切りにして塩でもみ、酢・砂糖で味付けして、さっぱりとした漬物やピクルスにできる。夏場、食欲がない時にもおすすめ！
山芋（長いも）の皮,洋風きんぴら,厚めにむいて砂糖・ハーブソルト・バルサミコ酢などで炒めて洋風きんぴらに。「あと一品欲しい」を助ける手軽でおしゃれなレシピ。
ピーマンの種・ワタ,種ごと炒め物,ピーマンの種とワタは食べられる！豚バラ肉などと一緒に炒めて、栄養を丸ごと摂取。シャキシャキ食感も楽しめる。
かぼちゃの種・ワタ,香ばしおやつ,種をワタごと水洗いして乾煎りするだけで、殻ごと食べられる香ばしいおやつ・トッピングに早変わり。塩をふっても美味しい。
パンの端,クルトン,切ったらオリーブオイルを絡ませて加熱し、冷ますだけでサクサクのクルトンが完成！
硬くなったパン,パン粉、フレンチトースト,硬くなったパンは、砕けば揚げ物に使えるパン粉に。牛乳や卵に浸して焼けばフレンチトーストにできる。
貝殻,出汁,殻に残るうまみ成分を美味しい出汁に。軽くローストしてから煮出せば、味の深みUP。
野菜くず(傷んでないもの),ハンバーグの種,細かく刻んで混ぜれば、お肉少なめでも満足感しっかり！うまみや触感がプラスされ、栄養補助も期待できる。
魚の皮,皮チップス,料理中に外した魚の皮をそのまま焼いてパリパリチップスに。冷めたらふりかけの具やお酒のつまみにもなる。
繊維の強い野菜のすじ,出汁パック野菜出汁,いんげんなどのすじをお茶パックやだしパックにいれて煮る。他の野菜くずと一緒に煮出すのも◎。
キウイの皮,甘酢漬け,薄くスライスして砂糖・酢・水に数時間漬ければ完成。箸休めにぴったり。
